2026-06-27 21:17:58 | INFO | src.jobs_xlsx.trendforce.get_dx_dram_index | DXI data job started | input_path=/Users/tommy/Desktop/Pycharm/FinancialData/data/industry/TrendForce/Index.xlsx | sheet=DXI
2026-06-27 21:18:00 | INFO | src.jobs_xlsx.trendforce.get_dx_dram_index | DXI Excel sheet loaded | rows=4384 | columns=6
2026-06-27 21:18:00 | INFO | src.jobs_xlsx.trendforce.get_dx_dram_index | DXI Parquet saved | output_path=/Users/tommy/Desktop/Pycharm/FinancialData/data_lake/raw/industry/index/dxi.parquet | rows=4384
2026-06-27 21:20:32 | INFO | src.jobs_xlsx.trendforce.get_dx_dram_index | DXI data job started | input_path=/Users/tommy/Desktop/Pycharm/FinancialData/data/industry/TrendForce/Index.xlsx | sheet=DXI
2026-06-27 21:20:33 | INFO | src.jobs_xlsx.trendforce.get_dx_dram_index | DXI Excel sheet loaded | rows=4384 | columns=6
2026-06-27 21:20:33 | INFO | src.jobs_xlsx.trendforce.get_dx_dram_index | DXI Parquet saved | output_path=/Users/tommy/Desktop/Pycharm/FinancialData/data_lake/raw/industry/index/dxi.parquet | rows=4384
2026-06-27 21:36:16 | INFO | src.jobs_xlsx.trendforce.get_dx_dram_index | DXI data job started | input_path=/Users/tommy/Desktop/Pycharm/FinancialData/data/industry/TrendForce/Index.xlsx | sheet=DXI
2026-06-27 21:36:17 | INFO | src.jobs_xlsx.trendforce.get_dx_dram_index | DXI Excel sheet loaded | rows=4384 | columns=6
2026-06-27 21:36:17 | INFO | src.jobs_xlsx.trendforce.get_dx_dram_index | DXI Parquet saved | output_path=/Users/tommy/Desktop/Pycharm/FinancialData/data_lake/raw/industry/index/dxi.parquet | rows=4384
2026-06-29 13:36:37 | INFO | src.jobs_xlsx.trendforce.get_dx_dram_index | DXI data job started | input_path=C:\Users\krm\PycharmProjects\AlternativeData\data\industry\TrendForce\Index.xlsx | sheet=DXI
2026-06-29 13:36:38 | INFO | src.jobs_xlsx.trendforce.get_dx_dram_index | DXI Excel sheet loaded | rows=4384 | columns=6
2026-06-29 13:36:38 | INFO | src.jobs_xlsx.trendforce.get_dx_dram_index | DXI Parquet saved | output_path=C:\Users\krm\PycharmProjects\AlternativeData\data_lake\raw\industry\index\dxi.parquet | rows=4384
2026-06-29 18:08:18 | INFO | src.jobs_xlsx.trendforce.get_dx_dram_index | DXI data job started | input_path=C:\Users\krm\PycharmProjects\AlternativeData\data\industry\TrendForce\Index.xlsx | sheet=DXI
2026-06-29 18:08:19 | INFO | src.jobs_xlsx.trendforce.get_dx_dram_index | DXI Excel sheet loaded | rows=4384 | columns=6
2026-06-29 18:08:19 | INFO | src.jobs_xlsx.trendforce.get_dx_dram_index | DXI Parquet saved | output_path=C:\Users\krm\PycharmProjects\AlternativeData\data_lake\raw\industry\index\dxi.parquet | rows=4384
2026-06-30 11:23:30 | INFO | src.jobs_xlsx.trendforce.get_dx_dram_index | DXI data job started | input_path=C:\Users\krm\PycharmProjects\AlternativeData\data\industry\TrendForce\Index.xlsx | sheet=DXI
2026-06-30 11:23:30 | INFO | src.jobs_xlsx.trendforce.get_dx_dram_index | DXI Excel sheet loaded | rows=4384 | columns=6
2026-06-30 11:23:30 | INFO | src.jobs_xlsx.trendforce.get_dx_dram_index | DXI Parquet saved | output_path=C:\Users\krm\PycharmProjects\AlternativeData\data_lake\raw\industry\index\dxi.parquet | rows=4384
2026-07-02 01:42:50 | INFO | src.jobs_xlsx.trendforce.get_dx_dram_index | DXI data job started | input_path=C:\Users\Geust\PycharmProjects\AlternativeData\data\industry\TrendForce\Index.xlsx | sheet=DXI
2026-07-02 01:42:50 | INFO | src.jobs_xlsx.trendforce.get_dx_dram_index | DXI Excel sheet loaded | rows=4388 | columns=6
2026-07-02 01:42:50 | INFO | src.jobs_xlsx.trendforce.get_dx_dram_index | DXI Parquet saved | output_path=C:\Users\Geust\PycharmProjects\AlternativeData\data_lake\raw\industry\index\dxi.parquet | rows=4388
